r,accuracy,target
"[2.0597705841064453, 0.6653944849967957, 0.5]"
"[1.7713394165039062, 0.5045734643936157, 0.5]"
"[2.68542742729187, 0.6674495935440063, 0.5]"
"[2.1860718727111816, 0.6655181646347046, 0.5]"
"[1.8451964855194092, 0.5002098679542542, 0.5]"
"[2.709317684173584, 0.5002425909042358, 0.5]"
"[1.9917118549346924, 0.6577541828155518, 0.5]"
"[1.9256558418273926, 0.5001567006111145, 0.5]"
"[2.7479512691497803, 0.5001943111419678, 0.5]"
"[2.261169910430908, 0.5001758933067322, 0.5]"
"[2.253589391708374, 0.6677724123001099, 0.5]"
"[1.8130717277526855, 0.670943558216095, 0.5]"
"[1.8784897327423096, 0.6633872985839844, 0.5]"
"[2.100071430206299, 0.6623905301094055, 0.5]"
"[1.8402338027954102, 0.6576195955276489, 0.5]"
"[1.7290107011795044, 0.5005996227264404, 0.5]"
"[1.8729931116104126, 0.6707918643951416, 0.5]"
"[1.56633722782135, 0.6631362438201904, 0.5]"
"[2.113893508911133, 0.5014183521270752, 0.5]"
"[1.2380787134170532, 0.8306237459182739, 0.5]"
"[2.0178074836730957, 0.5030269026756287, 0.5]"
"[1.7436649799346924, 0.6666489839553833, 0.5]"
"[2.0214762687683105, 0.5001277923583984, 0.5]"
"[2.2903225421905518, 0.6660619378089905, 0.5]"
"[2.4430696964263916, 0.5020026564598083, 0.5]"
"[1.9015822410583496, 0.5001758337020874, 0.5]"
"[1.8253272771835327, 0.828653872013092, 0.5]"
"[2.4937233924865723, 0.6569485664367676, 0.5]"
"[1.9994657039642334, 0.6647081971168518, 0.5]"
"[1.8136627674102783, 0.5001800656318665, 0.5]"
"[1.718863606452942, 0.6607277989387512, 0.5]"
"[1.8463382720947266, 0.6638545393943787, 0.5]"
"[2.168825626373291, 0.500981867313385, 0.5]"
